lambda,log2_N,log2_delta,q0,L,log2_precision
128,14,22,35,7,2
128,14,22,35,8,2
128,14,22,35,9,2
128,14,22,35,10,2
128,14,22,35,11,2
128,14,22,35,12,2
128,14,22,35,13,2
128,14,22,35,14,2
128,14,22,35,15,2
128,14,22,35,16,2
128,14,22,36,1,2
128,14,22,36,2,2
128,14,22,36,3,2
128,14,22,36,4,2
128,14,22,36,5,2
128,14,22,36,6,2
128,14,22,36,7,2
128,14,22,36,8,2
128,14,22,36,9,2
128,14,22,36,10,2
128,14,22,36,11,2
128,14,22,36,12,2
128,14,22,36,13,2
128,14,22,36,14,2
128,14,22,36,15,2
128,14,22,36,16,2
128,14,22,37,1,2
128,14,22,37,2,2
128,14,22,37,3,2
128,14,22,37,4,2
128,14,22,37,5,2
128,14,22,37,6,2
128,14,22,37,7,2
128,14,22,37,8,2
128,14,22,37,9,2
128,14,22,37,10,2
128,14,22,37,11,2
128,14,22,37,12,2
128,14,22,37,13,2
128,14,22,37,14,2
128,14,22,37,15,2
128,14,22,37,16,2
128,14,22,38,1,2
128,14,22,38,2,2
128,14,22,38,3,2
128,14,22,38,4,2
128,14,22,38,5,2
128,14,22,38,6,2
128,14,22,38,7,2
128,14,22,38,8,2
128,14,22,38,9,2
128,14,22,38,10,2
128,14,22,38,11,2
128,14,22,38,12,2
128,14,22,38,13,2
128,14,22,38,14,2
128,14,22,38,15,2
128,14,22,38,16,2
128,14,22,39,1,2
128,14,22,39,2,2
128,14,22,39,3,2
128,14,22,39,4,2
128,14,22,39,5,2
128,14,22,39,6,2
128,14,22,39,7,2
128,14,22,39,8,2
128,14,22,39,9,2
128,14,22,39,10,2
128,14,22,39,11,2
128,14,22,39,12,2
128,14,22,39,13,2
128,14,22,39,14,2
128,14,22,39,15,2
128,14,22,39,16,2
128,14,22,40,1,2
128,14,22,40,2,2
128,14,22,40,3,2
128,14,22,40,4,2
128,14,22,40,5,2
128,14,22,40,6,2
128,14,22,40,7,2
128,14,22,40,8,2
128,14,22,40,9,2
128,14,22,40,10,2
128,14,22,40,11,2
128,14,22,40,12,2
128,14,22,40,13,2
128,14,22,40,14,2
128,14,22,40,15,2
128,14,22,40,16,2
128,14,22,41,1,2
128,14,22,41,2,2
128,14,22,41,3,2
128,14,22,41,4,2
128,14,22,41,5,2
128,14,22,41,6,2
128,14,22,41,7,2
128,14,22,41,8,2
128,14,22,41,9,2
128,14,22,41,10,2
128,14,22,41,11,2
128,14,22,41,12,2
128,14,22,41,13,2
128,14,22,41,14,2
128,14,22,41,15,2
128,14,22,41,16,2
128,14,22,42,1,2
128,14,22,42,2,2
128,14,22,42,3,2
128,14,22,42,4,2
128,14,22,42,5,2
128,14,22,42,6,2
128,14,22,42,7,2
128,14,22,42,8,2
128,14,22,42,9,2
128,14,22,42,10,2
128,14,22,42,11,2
128,14,22,42,12,2
128,14,22,42,13,2
128,14,22,42,14,2
128,14,22,42,15,2
128,14,22,42,16,2
128,14,22,43,1,2
128,14,22,43,2,2
128,14,22,43,3,2
128,14,22,43,4,2
128,14,22,43,5,2
128,14,22,43,6,2
128,14,22,43,7,2
128,14,22,43,8,2
128,14,22,43,9,2
128,14,22,43,10,2
128,14,22,43,11,2
128,14,22,43,12,2
128,14,22,43,13,2
128,14,22,43,14,2
128,14,22,43,15,2
128,14,22,43,16,2
128,14,23,25,1,3
128,14,23,25,2,3
128,14,23,25,3,3
128,14,23,25,4,3
128,14,23,25,5,3
128,14,23,25,6,3
128,14,23,25,7,3
128,14,23,25,8,3
128,14,23,25,9,3
128,14,23,25,10,3
128,14,23,25,11,3
128,14,23,25,12,3
128,14,23,25,13,3
128,14,23,25,14,3
128,14,23,25,15,3
128,14,23,25,16,3
128,14,23,26,1,3
128,14,23,26,2,3
128,14,23,26,3,3
128,14,23,26,4,3
128,14,23,26,5,3
128,14,23,26,6,3
128,14,23,26,7,3
128,14,23,26,8,3
128,14,23,26,9,3
128,14,23,26,10,3
128,14,23,26,11,3
128,14,23,26,12,3
128,14,23,26,13,3
128,14,23,26,14,3
128,14,23,26,15,3
128,14,23,26,16,3
128,14,23,27,1,3
128,14,23,27,2,3
128,14,23,27,3,3
128,14,23,27,4,3
128,14,23,27,5,3
128,14,23,27,6,3
128,14,23,27,7,3
128,14,23,27,8,3
128,14,23,27,9,3
128,14,23,27,10,3
128,14,23,27,11,3
128,14,23,27,12,3
128,14,23,27,13,3
128,14,23,27,14,3
128,14,23,27,15,3
128,14,23,27,16,3
128,14,23,28,1,3
128,14,23,28,2,3
128,14,23,28,3,3
128,14,23,28,4,3
128,14,23,28,5,3
128,14,23,28,6,3
128,14,23,28,7,3
128,14,23,28,8,3
128,14,23,28,9,3
128,14,23,28,10,3
128,14,23,28,11,3
128,14,23,28,12,3
128,14,23,28,13,3
128,14,23,28,14,3
128,14,23,28,15,3
128,14,23,28,16,3
128,14,23,29,1,3
128,14,23,29,2,3
128,14,23,29,3,3
128,14,23,29,4,3
128,14,23,29,5,3
128,14,23,29,6,3
128,14,23,29,7,3
128,14,23,29,8,3
128,14,23,29,9,3
128,14,23,29,10,3
128,14,23,29,11,3
128,14,23,29,12,3
128,14,23,29,13,3
128,14,23,29,14,3
128,14,23,29,15,3
128,14,23,29,16,3
128,14,23,30,1,3
128,14,23,30,2,3
128,14,23,30,3,3
128,14,23,30,4,3
128,14,23,30,5,3
128,14,23,30,6,3
128,14,23,30,7,3
128,14,23,30,8,3
128,14,23,30,9,3
128,14,23,30,10,3
128,14,23,30,11,3
128,14,23,30,12,3
128,14,23,30,13,3
128,14,23,30,14,3
128,14,23,30,15,3
128,14,23,31,1,3
128,14,23,31,2,3
128,14,23,31,3,3
128,14,23,31,4,3
128,14,23,31,5,3
128,14,23,31,6,3
128,14,23,31,7,3
128,14,23,31,8,3
128,14,23,31,9,3
128,14,23,31,10,3
128,14,23,31,11,3
128,14,23,31,12,3
128,14,23,31,13,3
128,14,23,31,14,3
128,14,23,31,15,3
128,14,23,32,1,3
128,14,23,32,2,3
128,14,23,32,3,3
128,14,23,32,4,3
128,14,23,32,5,3
128,14,23,32,6,3
128,14,23,32,7,3
128,14,23,32,8,3
128,14,23,32,9,3
128,14,23,32,10,3
128,14,23,32,11,3
128,14,23,32,12,3
128,14,23,32,13,3
128,14,23,32,14,3
128,14,23,32,15,3
128,14,23,33,1,3
128,14,23,33,2,3
128,14,23,33,3,3
128,14,23,33,4,3
128,14,23,33,5,3
128,14,23,33,6,3
128,14,23,33,7,3
128,14,23,33,8,3
128,14,23,33,9,3
128,14,23,33,10,3
128,14,23,33,11,3
128,14,23,33,12,3
128,14,23,33,13,3
128,14,23,33,14,3
128,14,23,33,15,3
128,14,23,34,1,3
128,14,23,34,2,3
128,14,23,34,3,3
128,14,23,34,4,3
128,14,23,34,5,3
128,14,23,34,6,3
128,14,23,34,7,3
128,14,23,34,8,3
128,14,23,34,9,3
128,14,23,34,10,3
128,14,23,34,11,3
128,14,23,34,12,3
128,14,23,34,13,3
128,14,23,34,14,3
128,14,23,34,15,3
128,14,23,35,1,3
128,14,23,35,2,3
128,14,23,35,3,3
128,14,23,35,4,3
128,14,23,35,5,3
128,14,23,35,6,3
128,14,23,35,7,3
128,14,23,35,8,3
128,14,23,35,9,3
128,14,23,35,10,3
128,14,23,35,11,3
128,14,23,35,12,3
128,14,23,35,13,3
128,14,23,35,14,3
128,14,23,35,15,3
128,14,23,36,1,3
128,14,23,36,2,3
128,14,23,36,3,3
128,14,23,36,4,3
128,14,23,36,5,3
128,14,23,36,6,3
128,14,23,36,7,3
128,14,23,36,8,3
128,14,23,36,9,3
128,14,23,36,10,3
128,14,23,36,11,3
128,14,23,36,12,3
128,14,23,36,13,3
128,14,23,36,14,3
128,14,23,36,15,3
128,14,23,37,1,3
128,14,23,37,2,3
128,14,23,37,3,3
128,14,23,37,4,3
128,14,23,37,5,3
128,14,23,37,6,3
128,14,23,37,7,3
128,14,23,37,8,3
128,14,23,37,9,3
128,14,23,37,10,3
128,14,23,37,11,3
128,14,23,37,12,3
128,14,23,37,13,3
128,14,23,37,14,3
128,14,23,37,15,3
128,14,23,38,1,3
128,14,23,38,2,3
128,14,23,38,3,3
128,14,23,38,4,3
128,14,23,38,5,3
128,14,23,38,6,3
128,14,23,38,7,3
128,14,23,38,8,3
128,14,23,38,9,3
128,14,23,38,10,3
128,14,23,38,11,3
128,14,23,38,12,3
128,14,23,38,13,3
128,14,23,38,14,3
128,14,23,38,15,3
128,14,23,39,1,3
128,14,23,39,2,3
128,14,23,39,3,3
128,14,23,39,4,3
128,14,23,39,5,3
128,14,23,39,6,3
128,14,23,39,7,3
128,14,23,39,8,3
128,14,23,39,9,3
128,14,23,39,10,3
128,14,23,39,11,3
128,14,23,39,12,3
128,14,23,39,13,3
128,14,23,39,14,3
128,14,23,39,15,3
128,14,23,40,1,3
128,14,23,40,2,3
128,14,23,40,3,3
128,14,23,40,4,3
128,14,23,40,5,3
128,14,23,40,6,3
128,14,23,40,7,3
128,14,23,40,8,3
128,14,23,40,9,3
128,14,23,40,10,3
128,14,23,40,11,3
128,14,23,40,12,3
128,14,23,40,13,3
128,14,23,40,14,3
128,14,23,40,15,3
128,14,23,41,1,3
128,14,23,41,2,3
128,14,23,41,3,3
128,14,23,41,4,3
128,14,23,41,5,3
128,14,23,41,6,3
128,14,23,41,7,3
128,14,23,41,8,3
128,14,23,41,9,3
128,14,23,41,10,3
128,14,23,41,11,3
128,14,23,41,12,3
128,14,23,41,13,3
128,14,23,41,14,3
128,14,23,41,15,3
128,14,23,42,1,3
128,14,23,42,2,3
128,14,23,42,3,3
128,14,23,42,4,3
128,14,23,42,5,3
128,14,23,42,6,3
128,14,23,42,7,3
128,14,23,42,8,3
128,14,23,42,9,3
128,14,23,42,10,3
128,14,23,42,11,3
128,14,23,42,12,3
128,14,23,42,13,3
128,14,23,42,14,3
128,14,23,42,15,3
128,14,23,43,1,3
128,14,23,43,2,3
128,14,23,43,3,3
128,14,23,43,4,3
128,14,23,43,5,3
128,14,23,43,6,3
128,14,23,43,7,3
128,14,23,43,8,3
128,14,23,43,9,3
128,14,23,43,10,3
128,14,23,43,11,3
128,14,23,43,12,3
128,14,23,43,13,3
128,14,23,43,14,3
128,14,23,43,15,3
128,14,23,44,1,3
128,14,23,44,2,3
128,14,23,44,3,3
128,14,23,44,4,3
128,14,23,44,5,3
128,14,23,44,6,3
128,14,23,44,7,3
128,14,23,44,8,3
128,14,23,44,9,3
128,14,23,44,10,3
128,14,23,44,11,3
128,14,23,44,12,3
128,14,23,44,13,3
128,14,23,44,14,3
128,14,23,44,15,3
128,14,23,45,1,3
128,14,23,45,2,3
128,14,23,45,3,3
128,14,23,45,4,3
128,14,23,45,5,3
128,14,23,45,6,3
128,14,23,45,7,3
128,14,23,45,8,3
128,14,23,45,9,3
128,14,23,45,10,3
128,14,23,45,11,3
128,14,23,45,12,3
128,14,23,45,13,3
128,14,23,45,14,3
128,14,23,45,15,3
128,14,24,26,1,4
128,14,24,26,2,4
128,14,24,26,3,4
128,14,24,26,4,4
128,14,24,26,5,4
128,14,24,26,6,4
128,14,24,26,7,4
128,14,24,26,8,4
128,14,24,26,9,4
128,14,24,26,10,4
128,14,24,26,11,4
128,14,24,26,12,4
128,14,24,26,13,4
128,14,24,26,14,4
128,14,24,26,15,4
128,14,24,27,1,4
128,14,24,27,2,4
128,14,24,27,3,4
128,14,24,27,4,4
128,14,24,27,5,4
128,14,24,27,6,4
128,14,24,27,7,4
128,14,24,27,8,4
128,14,24,27,9,4
128,14,24,27,10,4
128,14,24,27,11,4
128,14,24,27,12,4
128,14,24,27,13,4
128,14,24,27,14,4
128,14,24,27,15,4
128,14,24,28,1,4
128,14,24,28,2,4
128,14,24,28,3,4
128,14,24,28,4,4
128,14,24,28,5,4
128,14,24,28,6,4
128,14,24,28,7,4
128,14,24,28,8,4
128,14,24,28,9,4
128,14,24,28,10,4
128,14,24,28,11,4
128,14,24,28,12,4
128,14,24,28,13,4
128,14,24,28,14,4
128,14,24,28,15,4
128,14,24,29,1,4
128,14,24,29,2,4
128,14,24,29,3,4
128,14,24,29,4,4
128,14,24,29,5,4
128,14,24,29,6,4
128,14,24,29,7,4
128,14,24,29,8,4
128,14,24,29,9,4
128,14,24,29,10,4
128,14,24,29,11,4
128,14,24,29,12,4
128,14,24,29,13,4
128,14,24,29,14,4
128,14,24,29,15,4
128,14,24,30,1,4
128,14,24,30,2,4
128,14,24,30,3,4
128,14,24,30,4,4
128,14,24,30,5,4
128,14,24,30,6,4
128,14,24,30,7,4
128,14,24,30,8,4
128,14,24,30,9,4
128,14,24,30,10,4
128,14,24,30,11,4
128,14,24,30,12,4
128,14,24,30,13,4
128,14,24,30,14,4
128,14,24,30,15,4
128,14,24,31,1,4
128,14,24,31,2,4
128,14,24,31,3,4
128,14,24,31,4,4
128,14,24,31,5,4
128,14,24,31,6,4
128,14,24,31,7,4
128,14,24,31,8,4
128,14,24,31,9,4
128,14,24,31,10,4
128,14,24,31,11,4
128,14,24,31,12,4
128,14,24,31,13,4
128,14,24,31,14,4
128,14,24,31,15,4
128,14,24,32,1,4
128,14,24,32,2,4
128,14,24,32,3,4
128,14,24,32,4,4
128,14,24,32,5,4
128,14,24,32,6,4
128,14,24,32,7,4
128,14,24,32,8,4
128,14,24,32,9,4
128,14,24,32,10,4
128,14,24,32,11,4
128,14,24,32,12,4
128,14,24,32,13,4
128,14,24,32,14,4
128,14,24,32,15,4
128,14,24,33,1,4
128,14,24,33,2,4
128,14,24,33,3,4
128,14,24,33,4,4
128,14,24,33,5,4
128,14,24,33,6,4
128,14,24,33,7,4
128,14,24,33,8,4
128,14,24,33,9,4
128,14,24,33,10,4
128,14,24,33,11,4
128,14,24,33,12,4
128,14,24,33,13,4
128,14,24,33,14,4
128,14,24,33,15,4
128,14,24,34,1,4
128,14,24,34,2,4
128,14,24,34,3,4
128,14,24,34,4,4
128,14,24,34,5,4
128,14,24,34,6,4
128,14,24,34,7,4
128,14,24,34,8,4
128,14,24,34,9,4
128,14,24,34,10,4
128,14,24,34,11,4
128,14,24,34,12,4
128,14,24,34,13,4
128,14,24,34,14,4
128,14,24,34,15,4
128,14,24,35,1,4
128,14,24,35,2,4
128,14,24,35,3,4
128,14,24,35,4,4
128,14,24,35,5,4
128,14,24,35,6,4
128,14,24,35,7,4
128,14,24,35,8,4
128,14,24,35,9,4
128,14,24,35,10,4
128,14,24,35,11,4
128,14,24,35,12,4
128,14,24,35,13,4
128,14,24,35,14,4
128,14,24,35,15,4
128,14,24,36,1,4
128,14,24,36,2,4
128,14,24,36,3,4
128,14,24,36,4,4
128,14,24,36,5,4
128,14,24,36,6,4
128,14,24,36,7,4
128,14,24,36,8,4
128,14,24,36,9,4
128,14,24,36,10,4
128,14,24,36,11,4
128,14,24,36,12,4
128,14,24,36,13,4
128,14,24,36,14,4
128,14,24,36,15,4
128,14,24,37,1,4
128,14,24,37,2,4
128,14,24,37,3,4
128,14,24,37,4,4
128,14,24,37,5,4
128,14,24,37,6,4
128,14,24,37,7,4
128,14,24,37,8,4
128,14,24,37,9,4
128,14,24,37,10,4
128,14,24,37,11,4
128,14,24,37,12,4
128,14,24,37,13,4
128,14,24,37,14,4
128,14,24,37,15,4
128,14,24,38,1,4
128,14,24,38,2,4
128,14,24,38,3,4
128,14,24,38,4,4
128,14,24,38,5,4
128,14,24,38,6,4
128,14,24,38,7,4
128,14,24,38,8,4
128,14,24,38,9,4
128,14,24,38,10,4
128,14,24,38,11,4
128,14,24,38,12,4
128,14,24,38,13,4
128,14,24,38,14,4
128,14,24,39,1,4
128,14,24,39,2,4
128,14,24,39,3,4
128,14,24,39,4,4
